,Nom,Activite_principale,Adresse,Ville,Telephone,Detail,Lien_entreprise,Facebook,Linkedin,Autre_lien,Lien_europage
211,SERVI DORYL,Fabricant/Producteur,ZI Sud,37130 LANGEAIS,+33 247961150,"Spécialiste de la plasturgie appliquée à la technologie fromagère, Servi Doryl conçoit, produit et commercialise dans le monde entier, des moules, blocs-moules, bassines de coagulation, plateaux d'égouttage, et de nombreux autres produits destinés à la fabrication de tous types de fromages à pâte molle et à pâte pressée.Depuis 1972, Servi Doryl développe des techniques uniques de perforation, tramage, mise en forme et soudure de plaques et pièces de haute performance et de haute qualité. Les moules à fromage et bassines de coagulation Servi Doryl sont fabriqués exclusivement en plastique, mais la société propose également une gamme de produits en métal afin de répondre au mieux aux attentes de ses clients, tels que plateaux d’égouttage, répartiteurs de moulage en acier inoxydable et aluminium, chariot de transport et autres équipements utilisés en fromagerie.Servi Doryl met aussi à disposition une gamme de services pour optimiser et simplifier vos procédés de fabrication fromagère : audit de parc, maintenance et remise à niveau, accompagnement d’un technologue, prototypage etc.Les plus grands groupes industriels fromagers nous font confiance et utilisent nos produits : moules à fromages, blocs-moules, répartiteurs, plateaux d’égouttage, bassines de coagulation, ou solutions d’affinage. Nous nous adressons aussi à de très nombreuses entreprises et coopératives, de petites ou moyennes tailles. Nous pouvons développer des solutions sur mesure en petites séries. ",http://www.servidoryl.com/fr,,,,https://www.europages.fr/SERVI-DORYL/FRA020930-195263001.html
212,SPENLE,Fabricant/Producteur,"Terrasses de la Sarre, 4 Terrasse Rhône Alpes",57400 Sarrebourg,+33 387257800,"Forte de 40 ans d’expérience, la société SPENLE conçoit et fabrique des portes pour les secteurs industriels, agro-alimentaires, ainsi que pour les cuisines centrales, les salles blanches et les hôpitaux. Grâce à son savoir-faire et son innovation continue, SPENLE a su développer des produits de qualité très appréciés et largement reconnus aujourd’hui. SPENLE vous propose une gamme complète de portes fabriquées sur mesure : - Portes souples industrielles (portes à lanières PVC et portes à vantaux souples). - Portes en polyéthylène et portes isothermes pour l'agro-alimentaire. - Portes étanches à l'air et portes anti-X pour les salles blanches, les salles propres et les hôpitaux. - Pièces détachées (lanières et rouleaux de PVC souple, charnières, joints, etc.). Les portes SPENLE sont distribuées dans tous les pays Européens, au Maghreb, en Afrique centrale et de l’ouest et en Asie.",https://www.spenle-international.com/en/,,,,https://www.europages.fr/SPENLE/00000003949401-225754001.html
213,AEROSTAR,Distributeur,679 Avenue de la république,59800 Lille,,"AEROSTAR est spécialisé dans l'assèchement de matériaux et le traitement de l'air dans les habitations, résidences secondaires, locaux industriels, entreprises ainsi que sur les chantiers. AEROSTAR intervient  sur les Hauts-de-France (Lille, Arras, Amiens, Reims ) et en Île-de-France (Paris et banlieue), et en Belgique.Nous vous proposons toute une gamme de matériels et équipements de traitement de l'air à la vente ou à la location : déshumidificateurs industriels, chauffages de chantiers, ventilateurs professionnels ou brasseurs d'air, climatiseurs mobiles, purificateurs d'air...Nous livrons et mettons en service nos équipements dans le Nord-Pas-de-Calais, en Picardie, à Paris et sa région, ainsi qu'en Belgique. Nous mettons nos appareils en service à disposition des professionnels, mais également des particuliers.L'entreprise AEROSTAR est agréée auprès des assurances et affiliée auprès des réseaux DYNAREN, COVEA et DOMUS.AEROSTAR : votre expert en traitement de l'air ! ",https://www.location-deshumidificateur.com/,,,,https://www.europages.fr/AEROSTAR/00000005405455-001.html
214,MIROITERIE RIGHETTI,Distributeur,225 rue Edouard Michelin,54710 Fléville,+33  383354262,"Fabricant et transformateur de produits verriers depuis 1835, la Miroiterie Righetti s’adresse aux professionnels et aux particuliers. Righetti est en mesure de vous accompagner dans tous vos projets et s’engage à mettre son savoir-faire ainsi que son expérience à votre service tout en assurant le suivi des chantiers, la transparence et le respect des prix, le respect des délais de livraison, le contrôle de qualité...Nous avons pour objectif de répondre aux différents besoins, par une offre diversifiée de produits innovants, de qualités, combinant à la fois esthétique, sécurité et fonctionnalité : Notre gamme de Verres Basiques est composée de : Verre Clair, Verre Laqué, Verre Imprimé, Verre Feuilleté PVB, Verre Sécurit, Verre Isolant. Notre gamme de Verres Techniques est composée de: Verre Pare-feu, Verre au Plomb, Verre Bombé, Verre Pare-Balle. Notre gamme de Verres Feuilletés Décoratifs : Vous disposez d’une grande variété de matières à incorporer dans le verre feuilleté : films de couleur, images, textiles, végétaux, leds...Plusieurs gammes sont disponibles et peuvent se combiner entre elles.",http://www.miroiterie.fr,,,,https://www.europages.fr/MIROITERIE-RIGHETTI/FRA628777-00101.html
215,OLEISYS,Fabricant/Producteur,Domaine de la Barthe BAT 1,34660 Cournonterrale,+33 632436929,"La maison OLEISYS est une industrie agroalimentaire spécialisé dans l'huile d'olive et l'huile d'argan culinaire. Elle crée, fabrique, transforme et vend à ses Clients, dans ce cadre, des articles alimentaires dits conditionnés en verre, en métal alimentaire et en carton (bouteilles, carafes, flacons, bidons métal, bouchons en bois, bouchons plastique, emballage carton). Pour un Client, OLEISYS peut, à son gré, accepter de personnaliser un modèle Design OLEISYS. Le modèle ainsi personnalisé appartient alors à OLEISYS mais sa création peut, le cas échéant, être réservée au Client, selon les accords pris avec lui à ce sujet. Enfin, OLEISYS vend également des accessoires et des prestations de conditionnement à façon.Toute nos gammes sont: • Pensées, Créés et Conçues dans l’Atelier création Oleisys en France• La fabrication et le conditionnement s’effectuent en France• Le choix de l’ensemble de nos bouteilles, bidons métal, bouchons entête bois naturel bec verseur, emballage carton sur-mesure sont fabriqués en France• La capacité de conditionnement de 100ML au 1L est de 1500 à 2500 Bouteilles à l’heure et pour les bidons 3L & 5L de 800 bidons à l’heure • La capacité de stockage des matière première (Huile) à température dirigé est de 60 000 L.• Les livraisons par carton s’effectuent deux fois par jour et par palette une fois par jour, les commandes export hors UE, sont envoyé par voie maritime en conteneur 20P ou 40P.Agréé, FranceAgrimer, HACCP, BPH, FDA, BIO, QUALISUD.",https://oleisys.fr/,,,,https://www.europages.fr/OLEISYS/00000005406560-740416001.html
216,ICM FRANCE,Fabricant/Producteur,9 allée Romain  Rolland,76410 Saint-Aubin-Lès-Elbeuf,+33 235819458,"Depuis 1994 ICM conçoit et fabrique des machines spéciales d'assemblage et de contrôle haute cadence, sur-mesure, pour les industries de la pharmacie, cosmétique, automobile, électromécanique ou agroalimentaire. MACHINES SPECIALES D'ASSEMBLAGE ET DE CONTROLE Automatiques, semi-automatiques ou postes de travail manuel, nos machines sont développées en suivant vos cahiers des charges dans une recherche d'optimisation technique et économique. Nos machines en cinématique indexée ou continue intègrent, selon vos besoins, un large éventail de fonctions (soudure, collage, contrôle d'étanchéité, ...). SYSTEMES DE DISTRIBUTION (bols/ rails vibrants, ...) La réalisation de nos propres dispositifs de distribution assure la maîtrise de l'alimentation de nos machines automatiques. Notre expertise comprend aussi bien les trémies, les bols vibrants ou centrifuges, que des distributions complexes intégrant vision industrielle et/ou robots (4 ou 6 axes, en statique ou tracking). VISION INDUSTRIELLE En lien étroit avec les grandes marques de vision industrielle notre laboratoire interne réalise les faisabilité et capabilité des contrôles afin d'assurer la robustesse des solutions installées. Les domaines d'application sont multiples: contrôle de conformité, de dimension, d'orientation, de présence, tri de pièces, la reconnaissance de marquage ou de couleur...",http://www.icm-automation.com/,,,,https://www.europages.fr/ICM-FRANCE/00000004721906-002.html
217,ECO CONSEILS,Fabricant/Producteur,La Brosse,49280 La Tessoualle,+33 241752490,"ECO CONSEILS est une entreprise française fabriquant et distribuant des produits naturels et biologiques pour une maison et un jardin écologiques.Nous fournissons les distributeurs & points de ventes de produits biologiques, écologiques et respectueux de l'environnement depuis plus de 15 ans.Nous travaillons avec près de 1200 magasins BIO en France et en Europe. Afin de pouvoir proposer nos articles au plus grand nombre, nous avons décidé en 2017 d'ouvrir notre distribution en ligne, via notre site marchand.Notre proposition regroupe des produits pour le bien-être, la puériculture, l'hygiène, le jardin et maison écologiques mais aussi le VRAC et Zéro déchet.ECO CONSEILS a choisi de proposer des produits pour la maison et propose en particulier une droguerie écologique qui ne cesse de grandir : Bicarbonate de soude, terre de Diatomée, Acide citrique, savon en paillettes, terre de Sommières conditionnés ou en vrac.Nous proposons également des produits malins pour la salle de bain tels que des shampoings solides, des baumes à lèvres, des savons au lait d'ânesse, des cure-oreilles en bambou ou bien encore des cosmétiques sans eau ! Des produits malins, économiques, écologiques et naturels pour l'hygiène, la maison et le jardin.Consultez notre catalogue général téléchargeable en PDF dans la partie « Documents ».",https://eco-conseils.com/,,,,https://www.europages.fr/ECO-CONSEILS/00000005402965-001.html
218,LEBRONZE ALLOYS,Fabricant/Producteur,Voie de Châlons,51600 Suippes,+33 326692828,"Lebronze alloys est né de l’intégration de sociétés spécialisées dans le développement et la production de composants techniques en alliages cuivreux, cuivre, alliages nickel, aluminiums, aciers spéciaux, aciers inoxydables, titane et superalliages nickel, des produits semi-finis (barres pleines et creuses, profilés, fils, plaques, bandes…) jusqu’aux produits finis dans une gamme dimensionnelle large.Grâce à un savoir-faire pluridisciplinaire, le Groupe apporte des solutions novatrices à toutes les grandes industries telles que l’Aéronautique, le Pétrole & Gaz, Energie, le Ferroviaire mais est présent également dans des secteurs fabricant de plus petits équipements.Nos 16 sites de production et 1400 collaborateurs maîtrisent un éventail unique de technologies de transformation des métaux : fonderie en coulée continue et semi-continue, fonderie sable, fonderie en coquille (manuelle, mécanisée, robotisée), fonderie centrifuge, extrusion, laminage circulaire, laminage à chaud et à froid, tréfilage, forge libre, matriçage, estampage, frappe à froid, usinage, contrôles non-destructifs, etc.Offrir une solution adaptée et optimisée aux besoins de chaque secteur, tel est l’engagement de notre Groupe.Afin de vous proposer la meilleure solution, nos métallurgistes peuvent concevoir les alliages les plus appropriés à vos besoins tandis que notre département qualité s’assurera du respect de vos spécifications les plus exigeantes pendant la phase d’industrialisation et de production.",http://www.lebronze-alloys.com/fr/,,,,https://www.europages.fr/LEBRONZE-ALLOYS/FRA261620-000018044001.html
219,BTRD3D,Détaillant,3 allée des Camélias,56190 Arzal,+33 603033025,"BTRD3D est un bureau d'études spécialisé dans le scan 3D et la rétroconception volumique / surfacique d'objets de petits et grands volumes (quelques centimètres à plusieurs mètres).BTRD3D est revendeur officiel du fabricant de scanners 3D lasers SCANTECH certifiés pour la métrologie. Des acteurs de l’industrie nucléaire, des écoles d’ingénieurs ou des bureaux d'études spécialisés nous font confiance.Nos clients travaillent dans l'industrie (tous domaines), l'art, le patrimoine, le multimédia, la santé... Nous mettons à profit notre expertise et notre polyvalence dans le domaine de la 3D et l’ingénierie pour tous vos projets : - Scan 3d, photogrammétrie, avec ou sans textures, pour de l'étude, de la refabrication, du contrôle dimensionnel, de la rétroingénierie, de l'archivage digital ou de la visualisation / infographie 3d- Conception, modélisation et design en CAO (.step, .iges, .x_t…), sculpture digitale, texturing et modèles 3D (.stl, .ply, .obj…), traitement de données 3D (corrections et réparations de modèles, optimisation…) Nous proposons également des scanners 3D d'entrée de gamme Thunk3d, spécialisés pour les très petits volumes (joaillerie et industrie).Coté logiciels, nous proposons QuickSurface et Mesh2Surface pour Solidworks, outils spécialisés pour la rétroconception de scans 3D. Nous intervenons sur site avec nos équipements ou vous pouvez envoyer vos objets à numériser par colis et palettes directement dans nos locaux. ",https://www.btrd3d.fr,,,,https://www.europages.fr/BTRD3D/00000005454367-799317001.html
220,HUA YI TECHNOLOGIE SAS,Distributeur,82 Boulevard Massena,75013 Paris,+40 659809618,"Hua Yi Tech, entreprise basée à Paris, innove dans le domaine des écrans d'affichage tactiles à visée commerciale, ainsi qu'à maintenir son développement rapide grâce à l'apport de services de qualité supérieure. En complément de la fabrication d'écrans publicitaires « conventionnels », nous confectionnons des machines publicitaires « intelligentes », des E-séries interactifs Multi-Touch, des Bornes tactiles, des Bornes de Commande, des Kiosques Photo, des Bornes de gestion des files d'attente, ... Nous développons également des logiciels et du matériel de grande qualité afin de satisfaire les exigences de nos différents clients à travers le monde. Nous offrons aussi à chacun l'opportunité de façonner leur écran selon l'esthétisme rêvé. Hua Yi Tech possède, par ailleurs, des équipes spécifiques aux départements R&D, Production et Ventes. Nous assurons à nos produits Qualité, Stabilité, Fiabilité, et Sûreté. Derrière chacun de nos produits résident de grandes exigences en matière de production qualitative et technique. Nous utilisons notre savoir-faire et notre technologie innovante afin de donner une image moderne. Tous nos produits sont  en norme CE. Pour toutes demandes, veuillez nous contacter par mail ying.li@huayitech.fr  ou par téléphone au +33 659 80 96 Ensemble, Perfectionnons la Communication ! ",http://huayitech.fr/html/index.html,,,,https://www.europages.fr/HUA-YI-TECHNOLOGIE-SAS/00000005401035-731154001.html
221,CVC SA - CASIERS VESTIAIRES CONSIGNES,Fabricant/Producteur,8 route de Lirots - Les Gâtines d'Oulins,28260 Oulins,+33 237643535,"Fabricant spécialisé dans les casiers, vestiaires et consignes de sécurité depuis plus de 20 ans, CVC vous accompagne dans vos projets d’aménagement : de l’implantation à la conception de votre espace, de la livraison à l’installation de vos casiers, voici les raisons pour lesquelles de grandes enseignes comme les «GALERIES LAFAYETTE», «PRINTEMPS », les hôtels «LE CRILLON», «LE RITZ», «CARREFOUR», «AUCHAN» nous accordent leur confiance. CVC est également leader dans le secteur hospitalier et gérontologique(référencement KORIAN, DOMITYS, etc…) marchés publics avec de nombreux Centres Hospitaliers sur tout le territoire français. D’autres secteurs d’activité, tel que les Collectivités Locales, l’Education Nationale, les Centres de Secours (SDIS), l’Industrie, l’Agro-Alimentaire, les Loisirs et Centres Sportifs découvrent dans notre catalogue, une gamme complète de casiers modulables, adaptée à leurs besoins spécifiques. Nous proposons des armoires métalliques et stratifiées ou inox pour environnement humide. Notre bureau d’étude vous assiste et vous propose une solution globale liée à vos contraintes d’espace (fabrication sur-mesure). Nos clients apprécient notre gamme de serrures : à cadenas simple ou à code, à clé ou à code fixe ou variable, mécanique ou électronique, notre gamme de couleurs (18), nos bancs métalliques ou stratifiés. CVC VOUS OFFRE UNE SOLUTION COMPLETE ET PERSONNALISEE.",http://www.cvcsa.fr,,,,https://www.europages.fr/CVC-SA-CASIERS-VESTIAIRES-CONSIGNES/00000003694857-000020416001.html
222,CURÉ EMBALLAGES,Fabricant/Producteur,Route d'Esbarres,21470 Brazey-En-Plaine,+33 380298313,"Créée et implantée en Bourgogne depuis 1988, la société CURE EMBALLAGES est devenue un acteur incontournable dans le domaine du recyclage, de la fabrication de palettes, de la gestion des déchets bois par broyage, de la valorisation et de la distribution de produits d’emballages et de stockage. Avec 33 ans d’expérience dans le secteur de l’emballage bois, vous bénéficierez grâce à notre équipe dynamique et disponible d’un accompagnement complet et personnalisé pour vous proposer des solutions d’emballage, de stockage QUI VOUS CORRESPONDENT ! CURE EMBALLAGES est positionnée sur son marché de COLLECTE - RECYCLAGE - VALORISATION et fabrication de palettes, plateformes et prestations de broyage bois. Nos produits d’emballage et de stockage : - > PALETTES BOIS NEUVES, RECYCLÉES ET RECONSTRUITES - > PALETTES ET EMBALLAGES PLASTIQUES- > REHAUSSES DE PALETTES ET ACCESSOIRES - > CAISSES INDUSTRIELLES POUR EXPÉDITION - > PALETTES MOULÉES - > PLATEAUX DE RACK DE STOCKAGE Nos objectifs permanents : - > Pérenniser, renouveler et développer notre métier pour faire face aux défis économiques et environnementaux d’aujourd’hui et de demain ! - > Offrir à nos partenaires et futurs clients QUALITÉ, RÉACTIVITÉ et COMPÉTITIVITÉ, nos challenges de tous les jours.",https://cure-emballages.com/,,,,https://www.europages.fr/CURE-EMBALLAGES/00000005442301-779601001.html
223,OG MECANIQUE,Fabricant/Producteur,"54, Bd des Champs Marot",85200 Fontenay Le Comte,+33 251511515,"OG MECANIQUE est votre partenaire pour : Mécanique de précision, outillage, électro érosion, fil et enfonçage, rectification plane et cylindrique. Nous mettons l’ensemble de nos compétences au service de toutes les industries : Automobile, ferroviaire, cosmétique, nucléaire, médical, aéronautique, armement,  électronique, connectique, télécommunication et autres. Notre parc machines (fraisage CN/3axes/5 axes, usinage 3D, perçage rapide, tournage CN, marquage laser, etc.) et nos exigences de précision, contrôle et qualification,  garantissent la réussite de nos multiples activités en outillage (outil de presse, outil de forme 3D, châssis mécano soudé  machines spéciales, usinage de fonderie montage de contrôle, pièces en composite, micromécanique, etc.). ",http://www.og-mecanique.fr,,,,https://www.europages.fr/OG-MECANIQUE/FRA471742-000020466001.html
224,SBMT FRANCE,Prestataire de services,119 Rue Du Président Wilson,92300 Levallois Perret,+33 146371009,"SBMT-France est le spécialiste de la remise en peinture électrostatique des surfaces métalliques. Nous disposons d’une couverture nationale et intervenons sur site, de jour comme de nuit. SBMT intervient sur trois principaux secteurs ; la GMS pour la remise en peinture électrostatique des caisses de sorties, du mobilier de magasin, des meubles froids et gondoles sèches, des bâtis, des châssis de baies vitrées en aluminium ou en métal et des plafonds métalliques. L’IMMOBILIER pour la remise en peinture électrostatique des plafonds, des cloisons métalliques, des portes d’ascenseurs, des caches convecteurs et de toutes les structures métalliques. L’INDUSTRIE pour la remise en peinture électrostatique des machines-outils et des lignes de production. Les systèmes d’applications électrostatiques développés par SBMT-France permettent l’absence de démontage des surfaces métalliques à remettre en peinture. Les surfaces remises en peinture sont prêtes à l’emploi environ 2H après l’intervention.",http://www.sbmt-france.fr,,,,https://www.europages.fr/SBMT-FRANCE/00000003950715-001.html
226,AE&amp;T,Fabricant/Producteur,4 Impasse Joliot Curie ,64110 Jurancon,+33 559060600,"AE&T : ALERTER - PROTEGERSpécialiste depuis plus de 45 ans en solutions de sécurité et protection des biens et des personnes en milieu industriel et zones ATEX, le fabricant français AE&T propose une large gamme de produits innovants, + de 3 800 produits, pour alerter, informer, évacuer en milieu industriel et zones explosives, communiquer quel que soit l'environnement, protéger les personnes et les biens. Découvrez les produits d'AE&T : - avertisseurs optiques et sonores- sirènes incendie- téléphones industriels et ATEX- amortisseurs de chocs- protecteurs de piliers pour sites logistiques- tapis de sécurité et rubans contact pour machines-outils- sirènes et feux LED pour sécurité intrinsèque- déclenchements manuels et organes de commande- systèmes d’alerte et d’évacuation- projecteurs et luminaires ATEX- presse-étoupes- boîtes de jonctions- lampes torchesL'ensemble des collaborateurs d'AE&T : conseillers technico-commerciaux sédentaires et terrain, chefs de produits, ingénieurs du Bureau d’études interne, chargés d’affaire…sont à votre écoute pour vous conseiller et vous accompagner dans vos projets de sécurité.Nos atouts : du stock avec des livraisons sous 48/72h | Garantie 3 ans des produits | Savoir-faire de fabricant |1 hotline technique | 1 e-shop",https://www.aet.fr/,,,,https://www.europages.fr/AET/00000005453090-001.html
230,SATECO,Fabricant/Producteur,Zone industrielle,86110 Mirebeau,+33 549504169,"SATECO concepteur, fabrique et commercialise les matériels pour la mise en forme du béton et la sécurité sur les chantiers (coffrages, plates-formes, podium...) partout dans le monde. Des matériels toujours plus innovants, garants de la sécurité des opérateurs tout en privilégiant la productivité : banche SC 1015 BOX, plate-forme de travail en encorbellement P3D avec ses attaches volantes AVRI, banche TPC pour ouvrages d’art, banche CTR 3010. SATECO c’est aussi la location de matériel pour mise en forme du béton. Vente matériel reconditionné pour mise en forme du béton.",http://www.sateco.fr,,,,https://www.europages.fr/SATECO/FRA161859-000018838001.html
231,ENDRESS+HAUSER,Distributeur,3 rue du Rhin,68330 Huningue,+33 969322424,"Endress+Hauser est un fournisseur global dans les techniques de mesure et d’automatisation, avec une large gamme de produits pour la détection et la mesure de niveau, de débit, de pression, de température, les analyses physico-chimiques, les enregistreurs, la communication numérique et des prestations de service complètes. Notre compétence s’étend dans tous les domaines industriels : chimie, pétrochimie, pharmacie, production d'énergie, agroalimentaire, matières premières, traitement de l’eau et de déchets, pétrole et gaz, papier/cellulose, ainsi qu'à la construction navale.",http://www.fr.endress.com,,,,https://www.europages.fr/ENDRESSHAUSER/ODA00309279-000019735001.html
232,VULCAN,Multi-Catégorie,16 avenue louise michel,77100 Nanteuil Les Meaux,+33 627711890,"VULCAN IDF est le spécialiste du traitement écologique de l'eau ​pour les particuliers, les entreprises et les industries.LA SOLUTION SANS SEL CONTRE LE CALCAIRE ! GARANTIE DE RÉSULTATS.  SATISFAIT OU REMBOURSE !  VULCAN est un appareil traitant l’eau de manière écologique qui protège vos tuyaux et vos équipements du calcaire et de la rouille. La méthode de traitement repose sur la technologie à impulsion Vulcan brevetée qui traite l’eau sans avoir recours à des produits chimiques ou du sel. Ces impulsions électroniques spéciales modifient le processus de cristallisation du calcium contenu dans l’eau dure et débarrassent ainsi ses particules de leurs propriétés adhérentes.Les avantages de VULCAN : - Sans sel ou produits chimiques- Sans magnétisme- Pour tuyaux jusqu’à 40″- Adapté à tous types de matériaux de tuyaux- Garantie internationale de 10 ans- Qualité – Made in GermanySolutions écologiques contre les problèmes de calcaire et de purification d’air avec Vulcan IDF.",https://www.vulcanidf.fr/,,,,https://www.europages.fr/VULCAN/FRA159638-762584001.html
233,TECHVIZ,Fabricant/Producteur,63 Boulevard Massena,75013 Paris,+33  145273338,"TechViz, éditeur de logiciels de réalité virtuelle, est spécialisé dans les secteurs de la réalité virtuelle, de la visualisation 3D immersive à échelle 1 : 1 et du prototypage virtuel.Notre Logiciel TechViz  XL permet d’afficher sur des systèmes immersifs (casques de réalité virtuelle, Powerwall, CAVE…) des modèles 3D sans conversion de données.Notre mission est de vous aider à améliorer la recherche et le développement de votre entreprise grâce à notre technologie et à nos partenaires leaders sur leur marché : nous améliorons le cycle de production et réduisons le temps d’élaboration des produits de nos clients.TechViz vous permet également de visualiser un modèle 3D en temps réel depuis divers lieux et à partir tous types de systèmes d’affichage immersif. Notre large gamme de services permet aussi de tracker le corps et les mains d’un utilisateur et d’afficher un avatar dans un modèle 3D afin de faire des études ergonomiques ou des revues de projets dans un environnement complètement immersif.Notre équipe technique et commerciale internationale intervient dans différents domaines comme l’automobile, l’aéronautique, l’architecture et la construction, l’industrie, l’énergie et l’industrie pharmaceutique. ",https://www.techviz.net/,,,,https://www.europages.fr/TECHVIZ/FRA601358-00101.html
234,GEOSYSTEMS FRANCE,Distributeur,6 Rue Jean Pierre Timbaud,78180 Montigny Le Bretonneux,+33 130438300,"GEOSYSTEMS France apporte une réponse technologique de qualité et de proximité à la communauté, et plus particulièrement aux utilisateurs en géomatique qui recherchent des solutions pour acquérir, orienter, mesurer, analyser et mettre en forme des données géoréférencées, en vue de les partager.Ainsi, nous proposons, en France et en Afrique francophone, des solutions de pointe en photogrammétrie, télédétection, drones, GNSS et SIG, pour un accompagnement sur toutes les étapes du cycle de vie de la donnée géospatiale. Au-delà des offres clés en main de notre catalogue, nous savons mettre en œuvre des solutions sur-mesure. Travaillons ensemble sur votre projet !",http://www.geosystems.fr/,,,,https://www.europages.fr/GEOSYSTEMS-FRANCE/FRA599307-00101.html
235,CATALDI SAS,Fabricant/Producteur,"de Bordeaux - ZA Girouflat,",47200 Marmande,+33 553647963,"CATALDI SAS est une société certifié ISO 9001/V2008  et 14001 environnement créée en 1976. La société CATALDI SAS est spécialisée dans la rénovation, l'assemblage et la fabrication des systèmes de refroidissement. Fabricant de radiateur de refroidissement moteur. Homologue auprès de : SNCF / RATP / RENAULT TRUCKS / RENAULT / PSA.  CATALDI SAS rachète la société HEBCO à LAMOTHE-BEUVRON (41 ) la synergie des 2 sociétés  apporte un savoir unique en France.Sa capacité d'adaptation et sa  souplesse de structure ainsi que sa connaissance du marché font de CATALDI un des leaders de son marché. ",http://www.cataldi.fr/#/Radiateur-refroidissement_1.html,,,,https://www.europages.fr/CATALDI-SAS/LFR000268-000017944001.html
236,POITTEMILL FORPLEX BROYEURS INDUSTRIELS,Fabricant/Producteur,Technoparc Futura,62400 Béthune,,"Le Groupe POITTEMILL regroupe les sociétés Broyeurs POITTEMILL Ingénierie et FORPLEX industries qui conçoivent des solutions de broyage et de classification industrielles depuis plus de 80 ans.  Le Groupe POITTEMILL est tourné vers l’innovation et n’a cessé de développer ses techniques de broyage fin et de classification par voie sèche en y associant les fonctions connexes telles que le séchage, le refroidissement, le mélange, l’enrobage, l’inertage, …etc, et est devenu un des leaders du marché.Ses principales technologies mélange le broyage par compression, par impact, par cisaillement, par friction, et/ou par attrition lui permettent d’intervenir dans tous les domaines de l’industrie, aussi multiples que variés tels que : •L’industrie des Minéraux•Industrie de la construction•La céramique•L’Energie•La Chimie•Les engrais•L’Agro-alimentaire•La Pharmacie•La cosmétique•L’industrie de la Revalorisation et du recyclage•L’Environnement•…etcDoté de son laboratoire et d’un centre d’essais regroupant l’ensemble de ses technologies, le Groupe POITTEMILL offre à sa clientèle la possibilité de valider la solution proposée et de vérifier la qualité des poudres qui seront produites industriellement. ",,,,,https://www.europages.fr/POITTEMILL-FORPLEX-BROYEURS-INDUSTRIELS/FRA305066-00101.html
237,DKF POMPE,Distributeur,2b Chemin de Marmaudy,73200 Albertville,+33 437453982,"Entreprise proactive, DKF pompe a choisi des partenaires qui lui ressemblent afin de vous apporter des solutions techniques qui répondent à vos besoins de pompage pour la chimie, l’agro-alimentaire, les polymères ou encore la pharmacie et la cosmétique. C’est pour cela que nous travaillons exclusivement avec des structures à taille humaine indépendantes, innovantes et avec un fort degré d’implication. Grâce à des compétences accrus, nos partenaires se sont imposés en proposant des produits innovants, robustes avec un niveau de service élevé. Une importance toute particulière est attachée à la pérennisation de vos équipements par la fourniture de pièces de rechange de haute qualité dans des délais rapides et sur une période illimitée.Nous nous concentrons aujourd’hui sur trois technologies pour répondre à vos besoins : Les pompes à engrenage pour le transfert de produits chimiques et des polymères avec notre partenaire WITTE PUMPS & TECHNOLOGY GmbHLes pompes à lobes, pour les marchés hygiéniques, avec notre partenaire IPP Pump Products GmbHLes micro-pompes à engrenages pour les applications de dosage, en chimie ou dans le domaine spatial et aérospatial, avec FlowLink B.V et Flight Works Europe B.V.",https://www.dkfpompe.fr/,,,,https://www.europages.fr/DKF-POMPE/00000005324080-620479001.html
238,KEVAC ASPIRATEURS INDUSTRIELS,Fabricant/Producteur,"115 rue de Curembourg, bât.O3",45400 Fleury Les Aubrais,+33 970735371,"Kevac se présente comme un challenger fiable en tant que concepteur et fabricant de systèmes d'aspirations (aspirateur industriel, aspiration centralisée, transport pneumatique) adaptés aux exigences de nettoyage et de production de l'industrie.La gamme comprend un grand nombre de modèles (+de 50) avec des puissances de 0, 4 kW à 25 kW construits en différentes versions incluant les exécutions ATEX et classes de filtration L-M-H. KEVAC s'est aussi une importante gamme d'accessoires afin de satisfaire les besoins du marché, adaptable sur vos installations actuelles. Nos connaissances et notre expérience nous permettent d'offrir des solutions personnalisées, étudiées et développées en fonction des besoins spécifiques des utilisateurs, ainsi que de fournir des réseaux centralisés d'aspiration et des convoyeurs pneumatiques. Dépôt de certificat ATEX auprès de l'organisme agrée INERIS. L'importance de notre gamme permet de répondre à vos attentes, que vous soyez utilisateurs, revendeurs ou intégrateurs (OEM)",http://www.kevac.fr,,,,https://www.europages.fr/KEVAC-ASPIRATEURS-INDUSTRIELS/00000005324027-620374001.html
